effective_from,si_do,si_gun_gu,eup_myeon_dong,note,source_title,source_url
2026-07-01,강원,속초시,대동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 속초세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,속초시,대포동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 속초세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,속초시,장사동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 속초세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,속초시,청호동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 속초세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,속초시,포동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 속초세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,개운동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,단계동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,단구동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,둔내면,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,일산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
